 location_description,date_month,count
Circular Head,2012-12,6
Circular Head,2013-01,9
Circular Head,2013-02,6
Circular Head,2013-03,9
Circular Head,2013-04,6
Circular Head,2013-05,10
Circular Head,2013-06,12
Circular Head,2013-07,5
Circular Head,2013-08,9
Circular Head,2013-09,6
Circular Head,2013-10,2
Circular Head,2013-11,8
Circular Head,2013-12,9
Circular Head,2014-01,7
Circular Head,2014-02,5
Circular Head,2014-03,6
Circular Head,2014-04,15
Circular Head,2014-05,3
Circular Head,2014-06,11
Circular Head,2014-07,5
Circular Head,2014-08,8
Circular Head,2014-09,8
Circular Head,2014-10,14
Circular Head,2014-11,11
Circular Head,2014-12,5
Circular Head,2015-01,7
Circular Head,2015-02,7
Circular Head,2015-03,10
Circular Head,2015-04,7
Circular Head,2015-05,6
Circular Head,2015-06,5
Circular Head,2015-07,9
Circular Head,2015-08,9
Circular Head,2015-09,6
Circular Head,2015-10,8
Circular Head,2015-11,7
Circular Head,2015-12,8
Circular Head,2016-01,16
Circular Head,2016-02,9
Circular Head,2016-03,9
Circular Head,2016-04,8
Circular Head,2016-05,8
Circular Head,2016-06,9
Circular Head,2016-07,8
Circular Head,2016-08,10
Circular Head,2016-09,10
Circular Head,2016-10,5
Circular Head,2016-11,5
Circular Head,2016-12,5
Circular Head,2017-01,5
Circular Head,2017-02,8
Circular Head,2017-03,19
Circular Head,2017-04,6
Circular Head,2017-05,7
Circular Head,2017-06,3
Circular Head,2017-07,3
Circular Head,2017-08,5
Circular Head,2017-09,3
Circular Head,2017-10,5
Circular Head,2017-11,3
Circular Head,2017-12,13
Circular Head,2018-01,6
Circular Head,2018-02,7
Circular Head,2018-03,12
Circular Head,2018-04,7
Circular Head,2018-05,6
Circular Head,2018-06,8
Circular Head,2018-07,5
Circular Head,2018-08,6
Circular Head,2018-09,7
Circular Head,2018-10,5
Circular Head,2018-11,12
Circular Head,2018-12,6
Circular Head,2019-01,13
Circular Head,2019-02,8
Circular Head,2019-03,11
Circular Head,2019-04,8
Circular Head,2019-05,11
Circular Head,2019-06,8
Circular Head,2019-07,5
Circular Head,2019-08,4
Circular Head,2019-09,5
Circular Head,2019-10,8
Circular Head,2019-11,6
Circular Head,2019-12,9
Circular Head,2020-01,6
Circular Head,2020-02,7
Circular Head,2020-03,7
Circular Head,2020-04,7
Circular Head,2020-05,8
Circular Head,2020-06,5
Circular Head,2020-07,9
Circular Head,2020-08,4
Circular Head,2020-09,1
Circular Head,2020-10,8
Circular Head,2020-11,5
Circular Head,2020-12,1
Clarence,2010-01,46
Clarence,2010-02,46
Clarence,2010-03,62
Clarence,2010-04,38
Clarence,2010-05,59
Clarence,2010-06,54
Clarence,2010-07,54
Clarence,2010-08,53
Clarence,2010-09,32
Clarence,2010-10,40
Clarence,2010-11,46
Clarence,2010-12,55
Clarence,2011-01,37
Clarence,2011-02,51
Clarence,2011-03,52
Clarence,2011-04,48
Clarence,2011-05,47
Clarence,2011-06,44
Clarence,2011-07,34
Clarence,2011-08,40
Clarence,2011-09,38
Clarence,2011-10,44
Clarence,2011-11,50
Clarence,2011-12,56
Clarence,2012-01,44
Clarence,2012-02,40
Clarence,2012-03,35
Clarence,2012-04,39
Clarence,2012-05,49
Clarence,2012-06,48
Clarence,2012-07,48
Clarence,2012-08,45
Clarence,2012-09,39
Clarence,2012-10,30
Clarence,2012-11,33
Clarence,2012-12,47
Clarence,2013-01,35
Clarence,2013-02,32
Clarence,2013-03,42
Clarence,2013-04,39
Clarence,2013-05,41
Clarence,2013-06,34
Clarence,2013-07,50
Clarence,2013-08,48
Clarence,2013-09,58
Clarence,2013-10,41
Clarence,2013-11,36
Clarence,2013-12,52
Clarence,2014-01,54
Clarence,2014-02,37
Clarence,2014-03,41
Clarence,2014-04,48
Clarence,2014-05,53
Clarence,2014-06,59
Clarence,2014-07,41
Clarence,2014-08,38
Clarence,2014-09,41
Clarence,2014-10,36
Clarence,2014-11,54
Clarence,2014-12,48
Clarence,2015-01,53
Clarence,2015-02,48
Clarence,2015-03,48
Clarence,2015-04,45
Clarence,2015-05,65
Clarence,2015-06,41
Clarence,2015-07,48
Clarence,2015-08,40
Clarence,2015-09,46
Clarence,2015-10,46
Clarence,2015-11,51
Clarence,2015-12,65
Clarence,2016-01,46
Clarence,2016-02,42
Clarence,2016-03,47
Clarence,2016-04,43
Clarence,2016-05,49
Clarence,2016-06,47
Clarence,2016-07,45
Clarence,2016-08,59
Clarence,2016-09,54
Clarence,2016-10,48
Clarence,2016-11,54
Clarence,2016-12,59
Clarence,2017-01,41
Clarence,2017-02,44
Clarence,2017-03,52
Clarence,2017-04,37
Clarence,2017-05,61
Clarence,2017-06,45
Clarence,2017-07,55
Clarence,2017-08,54
Clarence,2017-09,50
Clarence,2017-10,52
Clarence,2017-11,45
Clarence,2017-12,54
Clarence,2018-01,54
Clarence,2018-02,40
Clarence,2018-03,48
Clarence,2018-04,59
Clarence,2018-05,55
Clarence,2018-06,58
Clarence,2018-07,56
Clarence,2018-08,54
Clarence,2018-09,46
Clarence,2018-10,58
Clarence,2018-11,55
Clarence,2018-12,57
Clarence,2019-01,48
Clarence,2019-02,46
Clarence,2019-03,57
Clarence,2019-04,42
Clarence,2019-05,48
Clarence,2019-06,48
Clarence,2019-07,62
Clarence,2019-08,56
Clarence,2019-09,52
Clarence,2019-10,59
Clarence,2019-11,59
Clarence,2019-12,53
Clarence,2020-01,42
Clarence,2020-02,53
Clarence,2020-03,41
Clarence,2020-04,24
Clarence,2020-05,32
Clarence,2020-06,42
Clarence,2020-07,31
Clarence,2020-08,43
Clarence,2020-09,28
Clarence,2020-10,25
Clarence,2020-11,29
Clarence,2020-12,12
Derwent Valley,2010-01,12
Derwent Valley,2010-02,6
Derwent Valley,2010-03,11
Derwent Valley,2010-04,12
Derwent Valley,2010-05,7
Derwent Valley,2010-06,10
Derwent Valley,2010-07,13
Derwent Valley,2010-08,9
Derwent Valley,2010-09,4
Derwent Valley,2010-10,8
Derwent Valley,2010-11,12
Derwent Valley,2010-12,13
Derwent Valley,2011-01,8
Derwent Valley,2011-02,7
Derwent Valley,2011-03,3
Derwent Valley,2011-04,10
Derwent Valley,2011-05,3
Derwent Valley,2011-06,5
Derwent Valley,2011-07,12
Derwent Valley,2011-08,4
Derwent Valley,2011-09,6
Derwent Valley,2011-10,8
Derwent Valley,2011-11,7
Derwent Valley,2011-12,8
Derwent Valley,2012-01,9
Derwent Valley,2012-02,7
Derwent Valley,2012-03,9
Derwent Valley,2012-04,5
Derwent Valley,2012-05,2
Derwent Valley,2012-06,8
Derwent Valley,2012-07,8
Derwent Valley,2012-08,9
Derwent Valley,2012-09,8
Derwent Valley,2012-10,8
Derwent Valley,2012-11,10
Derwent Valley,2012-12,7
Derwent Valley,2013-01,5
Derwent Valley,2013-02,7
Derwent Valley,2013-03,13
Derwent Valley,2013-04,8
Derwent Valley,2013-05,7
Derwent Valley,2013-06,14
Derwent Valley,2013-07,8
Derwent Valley,2013-08,12
Derwent Valley,2013-09,7
Derwent Valley,2013-10,10
Derwent Valley,2013-11,6
Derwent Valley,2013-12,12
Derwent Valley,2014-01,6
Derwent Valley,2014-02,12
Derwent Valley,2014-03,14
Derwent Valley,2014-04,7
Derwent Valley,2014-05,9
Derwent Valley,2014-06,10
Derwent Valley,2014-07,5
Derwent Valley,2014-08,5
Derwent Valley,2014-09,7
Derwent Valley,2014-10,7
Derwent Valley,2014-11,11
Derwent Valley,2014-12,7
Derwent Valley,2015-01,15
Derwent Valley,2015-02,10
Derwent Valley,2015-03,10
Derwent Valley,2015-04,7
Derwent Valley,2015-05,6
Derwent Valley,2015-06,16
Derwent Valley,2015-07,9
Derwent Valley,2015-08,8
Derwent Valley,2015-09,5
Derwent Valley,2015-10,8
Derwent Valley,2015-11,9
Derwent Valley,2015-12,14
Derwent Valley,2016-01,14
Derwent Valley,2016-02,13
Derwent Valley,2016-03,7
Derwent Valley,2016-04,7
Derwent Valley,2016-05,9
Derwent Valley,2016-06,3
Derwent Valley,2016-07,14
Derwent Valley,2016-08,6
Derwent Valley,2016-09,5
Derwent Valley,2016-10,6
Derwent Valley,2016-11,15
Derwent Valley,2016-12,8
Derwent Valley,2017-01,10
Derwent Valley,2017-02,6
Derwent Valley,2017-03,15
Derwent Valley,2017-04,6
Derwent Valley,2017-05,9
Derwent Valley,2017-06,13
Derwent Valley,2017-07,11
Derwent Valley,2017-08,9
Derwent Valley,2017-09,5
Derwent Valley,2017-10,9
Derwent Valley,2017-11,11
Derwent Valley,2017-12,8
Derwent Valley,2018-01,18
Derwent Valley,2018-02,14
Derwent Valley,2018-03,9
Derwent Valley,2018-04,13
Derwent Valley,2018-05,8
Derwent Valley,2018-06,6
Derwent Valley,2018-07,15
Derwent Valley,2018-08,13
Derwent Valley,2018-09,9
Derwent Valley,2018-10,11
Derwent Valley,2018-11,8
Derwent Valley,2018-12,18
Derwent Valley,2019-01,8
Derwent Valley,2019-02,5
Derwent Valley,2019-03,13
Derwent Valley,2019-04,6
Derwent Valley,2019-05,7
Derwent Valley,2019-06,12
Derwent Valley,2019-07,7
Derwent Valley,2019-08,8
Derwent Valley,2019-09,12
Derwent Valley,2019-10,8
Derwent Valley,2019-11,6
Derwent Valley,2019-12,13
Derwent Valley,2020-01,12
Derwent Valley,2020-02,6
Derwent Valley,2020-03,13
Derwent Valley,2020-04,9
Derwent Valley,2020-05,7
Derwent Valley,2020-06,7
Derwent Valley,2020-07,11
Derwent Valley,2020-08,9
Derwent Valley,2020-09,9
Derwent Valley,2020-10,7
Derwent Valley,2020-11,9
Derwent Valley,2020-12,1
Devonport,2010-01,27
Devonport,2010-02,30
Devonport,2010-03,37
Devonport,2010-04,22
Devonport,2010-05,31
Devonport,2010-06,40
Devonport,2010-07,45
Devonport,2010-08,27
Devonport,2010-09,39
Devonport,2010-10,29
Devonport,2010-11,36
Devonport,2010-12,31
Devonport,2011-01,32
Devonport,2011-02,27
Devonport,2011-03,29
Devonport,2011-04,23
Devonport,2011-05,37
Devonport,2011-06,21
Devonport,2011-07,23
Devonport,2011-08,26
Devonport,2011-09,23
Devonport,2011-10,21
Devonport,2011-11,28
Devonport,2011-12,21
Devonport,2012-01,21
Devonport,2012-02,32
Devonport,2012-03,19
Devonport,2012-04,23
Devonport,2012-05,36
Devonport,2012-06,25
Devonport,2012-07,21
Devonport,2012-08,25
Devonport,2012-09,25
Devonport,2012-10,16
Devonport,2012-11,31
Devonport,2012-12,33
Devonport,2013-01,35
Devonport,2013-02,31
Devonport,2013-03,24
Devonport,2013-04,32
Devonport,2013-05,36
Devonport,2013-06,31
Devonport,2013-07,36
Devonport,2013-08,28
Devonport,2013-09,23
Devonport,2013-10,18
Devonport,2013-11,31
Devonport,2013-12,33
Devonport,2014-01,26
Devonport,2014-02,17
Devonport,2014-03,32
Devonport,2014-04,31
Devonport,2014-05,31
Devonport,2014-06,26
Devonport,2014-07,20
Devonport,2014-08,21
Devonport,2014-09,25
Devonport,2014-10,30
Devonport,2014-11,21
Devonport,2014-12,29
Devonport,2015-01,28
Devonport,2015-02,23
Devonport,2015-03,23
Devonport,2015-04,32
Devonport,2015-05,28
Devonport,2015-06,31
Devonport,2015-07,27
Devonport,2015-08,19
Devonport,2015-09,23
Devonport,2015-10,23
Devonport,2015-11,22
Devonport,2015-12,28
Devonport,2016-01,30
Devonport,2016-02,31
Devonport,2016-03,30
Devonport,2016-04,35
Devonport,2016-05,25
Devonport,2016-06,33
Devonport,2016-07,29
Devonport,2016-08,22
Devonport,2016-09,25
Devonport,2016-10,20
Devonport,2016-11,28
Devonport,2016-12,40
Devonport,2017-01,25
Devonport,2017-02,22
Devonport,2017-03,37
Devonport,2017-04,29
Devonport,2017-05,30
Devonport,2017-06,27
Devonport,2017-07,35
Devonport,2017-08,26
Devonport,2017-09,28
Devonport,2017-10,25
Devonport,2017-11,22
Devonport,2017-12,22
Devonport,2018-01,28
Devonport,2018-02,34
Devonport,2018-03,24
Devonport,2018-04,21
Devonport,2018-05,31
Devonport,2018-06,17
Devonport,2018-07,24
Devonport,2018-08,25
Devonport,2018-09,14
Devonport,2018-10,22
Devonport,2018-11,29
Devonport,2018-12,26
Devonport,2019-01,23
Devonport,2019-02,28
Devonport,2019-03,32
Devonport,2019-04,26
Devonport,2019-05,31
Devonport,2019-06,31
Devonport,2019-07,28
Devonport,2019-08,25
Devonport,2019-09,19
Devonport,2019-10,38
Devonport,2019-11,20
Devonport,2019-12,19
Devonport,2020-01,28
Devonport,2020-02,31
Devonport,2020-03,28
Devonport,2020-04,13
Devonport,2020-05,18
Devonport,2020-06,27
Devonport,2020-07,16
Devonport,2020-08,27
Devonport,2020-09,21
Devonport,2020-10,17
Devonport,2020-11,15
Devonport,2020-12,6
Dorset,2010-01,4
Dorset,2010-02,5
Dorset,2010-03,5
Dorset,2010-04,11
Dorset,2010-05,6
Dorset,2010-06,3
Dorset,2010-07,6
Dorset,2010-08,6
Dorset,2010-09,5
Dorset,2010-10,5
Dorset,2010-11,7
Dorset,2010-12,8
Dorset,2011-01,5
Dorset,2011-02,4
Dorset,2011-03,9
Dorset,2011-04,3
Dorset,2011-05,7
Dorset,2011-06,5
Dorset,2011-07,5
Dorset,2011-08,5
Dorset,2011-09,8
Dorset,2011-10,5
Dorset,2011-11,8
Dorset,2011-12,6
Dorset,2012-01,4
Dorset,2012-02,6
Dorset,2012-03,8
Dorset,2012-04,5
Dorset,2012-05,7
Dorset,2012-06,8
Dorset,2012-07,4
Dorset,2012-08,3
Dorset,2012-09,5
Dorset,2012-10,8
